Format Version,1.21,Take Name,Take 2022-02-08 06.47.42 PM,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2022-02-08 06.47.42.720 PM,Total Frames in Take,64656,Total Exported Frames,5775,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,,Unlabeled:100,Unlabeled:100,Unlabeled:100,Unlabeled:101,Unlabeled:101,Unlabeled:101,Unlabeled:102,Unlabeled:102,Unlabeled:102
,,"8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357064","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357065","8392B20CF49E357066","8392B20CF49E357066","8392B20CF49E357066"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time,X,Y,Z,X,Y,Z,X,Y,Z
1139,9.491667,-0.501258,0.174248,-0.158589,-0.500360,0.152180,-0.255918,-0.497731,0.361383,-0.046013
1140,9.500000,-0.501251,0.174148,-0.158576,-0.500353,0.152188,-0.255935,-0.497730,0.361267,-0.045990
1141,9.508333,-0.501249,0.174062,-0.158611,-0.500346,0.152175,-0.255932,-0.497708,0.361185,-0.046055
1142,9.516667,-0.501256,0.173963,-0.158590,-0.500346,0.152189,-0.255963,-0.497701,0.361085,-0.046057
1143,9.525000,-0.501262,0.173863,-0.158582,-0.500350,0.152183,-0.255953,-0.497698,0.360987,-0.046056
1144,9.533333,-0.501262,0.173755,-0.158561,-0.500349,0.152175,-0.255942,-0.497694,0.360882,-0.046066
1145,9.541667,-0.501261,0.173660,-0.158563,-0.500346,0.152194,-0.255971,-0.497694,0.360797,-0.046068
1146,9.550000,-0.501265,0.173572,-0.158545,-0.500353,0.152186,-0.255958,-0.497696,0.360715,-0.046037
1147,9.558333,-0.501264,0.173502,-0.158554,-0.500350,0.152189,-0.255956,-0.497700,0.360641,-0.046070
1148,9.566667,-0.501272,0.173420,-0.158538,-0.500350,0.152199,-0.255958,-0.497703,0.360573,-0.046080
1149,9.575000,-0.501257,0.173355,-0.158551,-0.500349,0.152197,-0.255948,-0.497700,0.360504,-0.046083
1150,9.583333,-0.501252,0.173287,-0.158576,-0.500350,0.152199,-0.255965,-0.497705,0.360444,-0.046067
1151,9.591667,-0.501249,0.173216,-0.158567,-0.500356,0.152192,-0.255948,-0.497711,0.360368,-0.046059
1152,9.600000,-0.501238,0.173154,-0.158591,-0.500352,0.152200,-0.255954,-0.497701,0.360300,-0.046063
1153,9.608333,-0.501227,0.173075,-0.158573,-0.500348,0.152188,-0.255933,-0.497711,0.360217,-0.046024
1154,9.616667,-0.501217,0.172994,-0.158581,-0.500349,0.152204,-0.255967,-0.497707,0.360133,-0.046025
1155,9.625000,-0.501208,0.172943,-0.158634,-0.500347,0.152190,-0.255941,-0.497701,0.360053,-0.046052
1156,9.633333,-0.501202,0.172813,-0.158619,-0.500353,0.152186,-0.255930,-0.497704,0.359946,-0.046055
1157,9.641667,-0.501205,0.172711,-0.158619,-0.500348,0.152193,-0.255956,-0.497698,0.359857,-0.046078
1158,9.650000,-0.501199,0.172622,-0.158647,-0.500350,0.152176,-0.255926,-0.497704,0.359736,-0.046057
1159,9.658333,-0.501198,0.172534,-0.158640,-0.500359,0.152197,-0.255960,-0.497701,0.359632,-0.046033
1160,9.666667,-0.501190,0.172444,-0.158652,-0.500355,0.152197,-0.255966,-0.497697,0.359536,-0.046048
1161,9.675000,-0.501200,0.172359,-0.158655,-0.500354,0.152201,-0.255970,-0.497706,0.359449,-0.046062
1162,9.683333,-0.501206,0.172263,-0.158626,-0.500358,0.152185,-0.255957,-0.497695,0.359360,-0.046056
1163,9.691667,-0.501209,0.172194,-0.158636,-0.500357,0.152187,-0.255953,-0.497692,0.359282,-0.046043
1164,9.700000,-0.501211,0.172109,-0.158627,-0.500358,0.152183,-0.255950,-0.497696,0.359218,-0.046048
1165,9.708333,-0.501213,0.172050,-0.158640,-0.500349,0.152193,-0.255963,-0.497692,0.359155,-0.046049
1166,9.716667,-0.501211,0.171970,-0.158632,-0.500352,0.152173,-0.255925,-0.497701,0.359078,-0.045999
1167,9.725000,-0.501211,0.171900,-0.158628,-0.500353,0.152176,-0.255929,-0.497699,0.359008,-0.046011
1168,9.733333,-0.501191,0.171845,-0.158692,-0.500350,0.152185,-0.255924,-0.497693,0.358946,-0.046040
1169,9.741667,-0.501199,0.171753,-0.158656,-0.500348,0.152185,-0.255930,-0.497693,0.358867,-0.046036
1170,9.750000,-0.501198,0.171658,-0.158636,-0.500351,0.152178,-0.255923,-0.497688,0.358788,-0.046070
1171,9.758333,-0.501185,0.171591,-0.158678,-0.500343,0.152201,-0.255953,-0.497690,0.358708,-0.046046
1172,9.766667,-0.501189,0.171496,-0.158646,-0.500356,0.152179,-0.255918,-0.497697,0.358638,-0.046045
1173,9.775000,-0.501178,0.171439,-0.158668,-0.500347,0.152211,-0.255960,-0.497695,0.358557,-0.046061
1174,9.783333,-0.501176,0.171340,-0.158633,-0.500348,0.152191,-0.255943,-0.497697,0.358459,-0.046051
1175,9.791667,-0.501171,0.171279,-0.158671,-0.500354,0.152194,-0.255954,-0.497700,0.358378,-0.046088
1176,9.800000,-0.501178,0.171147,-0.158647,-0.500352,0.152186,-0.255944,-0.497702,0.358275,-0.046055
1177,9.808333,-0.501176,0.171070,-0.158664,-0.500352,0.152191,-0.255961,-0.497694,0.358176,-0.046069
1178,9.816667,-0.501165,0.170993,-0.158702,-0.500357,0.152187,-0.255952,-0.497695,0.358076,-0.046044
1179,9.825000,-0.501163,0.170909,-0.158687,-0.500347,0.152203,-0.255973,-0.497691,0.357993,-0.046049
1180,9.833333,-0.501164,0.170828,-0.158693,-0.500346,0.152204,-0.255974,-0.497689,0.357905,-0.046060
1181,9.841667,-0.501153,0.170757,-0.158695,-0.500346,0.152198,-0.255971,-0.497678,0.357820,-0.046068
1182,9.850000,-0.501152,0.170678,-0.158693,-0.500351,0.152185,-0.255943,-0.497688,0.357739,-0.046043
1183,9.858333,-0.501147,0.170590,-0.158678,-0.500343,0.152185,-0.255937,-0.497691,0.357657,-0.046025
1184,9.866667,-0.501143,0.170534,-0.158718,-0.500349,0.152186,-0.255929,-0.497689,0.357582,-0.046031
1185,9.875000,-0.501146,0.170448,-0.158726,-0.500353,0.152193,-0.255936,-0.497695,0.357513,-0.046003
1186,9.883333,-0.501139,0.170362,-0.158726,-0.500345,0.152189,-0.255934,-0.497695,0.357428,-0.046002
1187,9.891667,-0.501147,0.170295,-0.158735,-0.500352,0.152185,-0.255928,-0.497702,0.357362,-0.046006
1188,9.900000,-0.501152,0.170208,-0.158735,-0.500358,0.152182,-0.255936,-0.497701,0.357278,-0.045991
1189,9.908333,-0.501155,0.170139,-0.158730,-0.500349,0.152187,-0.255940,-0.497707,0.357202,-0.045981
1190,9.916667,-0.501151,0.170051,-0.158741,-0.500358,0.152177,-0.255923,-0.497694,0.357126,-0.046031
1191,9.925000,-0.501158,0.169937,-0.158698,-0.500352,0.152188,-0.255948,-0.497686,0.357054,-0.046055
1192,9.933333,-0.501152,0.169850,-0.158694,-0.500350,0.152185,-0.255943,-0.497692,0.356956,-0.046020
1193,9.941667,-0.501161,0.169752,-0.158677,-0.500348,0.152190,-0.255948,-0.497681,0.356879,-0.046070
1194,9.950000,-0.501154,0.169682,-0.158701,-0.500344,0.152196,-0.255961,-0.497685,0.356772,-0.046069
1195,9.958333,-0.501159,0.169532,-0.158647,-0.500350,0.152189,-0.255953,-0.497681,0.356669,-0.046068
1196,9.966667,-0.501158,0.169441,-0.158639,-0.500342,0.152187,-0.255956,-0.497682,0.356556,-0.046022
1197,9.975000,-0.501155,0.169378,-0.158652,-0.500338,0.152183,-0.255953,-0.497669,0.356478,-0.046054
1198,9.983333,-0.501155,0.169297,-0.158639,-0.500348,0.152194,-0.255965,-0.497679,0.356388,-0.046040
1199,9.991667,-0.501150,0.169213,-0.158662,-0.500345,0.152194,-0.255966,-0.497676,0.356309,-0.046027
1200,10.000000,-0.501145,0.169140,-0.158651,-0.500350,0.152183,-0.255936,-0.497683,0.356234,-0.046035
1201,10.008333,-0.501148,0.169072,-0.158646,-0.500349,0.152187,-0.255954,-0.497681,0.356162,-0.046018
1202,10.016667,-0.501143,0.169009,-0.158657,-0.500348,0.152191,-0.255946,-0.497689,0.356083,-0.046002
1203,10.025000,-0.501135,0.168957,-0.158679,-0.500347,0.152206,-0.255966,-0.497692,0.356026,-0.045989
1204,10.033333,-0.501131,0.168889,-0.158705,-0.500353,0.152192,-0.255935,-0.497692,0.355936,-0.045950
1205,10.041667,-0.501120,0.168818,-0.158698,-0.500349,0.152204,-0.255948,-0.497685,0.355870,-0.045947
1206,10.050000,-0.501122,0.168751,-0.158709,-0.500343,0.152194,-0.255944,-0.497693,0.355791,-0.045916
1207,10.058333,-0.501121,0.168690,-0.158751,-0.500344,0.152193,-0.255942,-0.497686,0.355705,-0.045936
1208,10.066667,-0.501120,0.168603,-0.158739,-0.500350,0.152197,-0.255955,-0.497675,0.355642,-0.045974
1209,10.075000,-0.501117,0.168520,-0.158761,-0.500345,0.152186,-0.255950,-0.497671,0.355547,-0.045967
1210,10.083333,-0.501121,0.168426,-0.158742,-0.500342,0.152206,-0.255987,-0.497657,0.355473,-0.046024
1211,10.091667,-0.501125,0.168317,-0.158717,-0.500350,0.152187,-0.255959,-0.497671,0.355382,-0.045992
